Gesture,Accuracy,Samples
0,1.0,2
1,1.0,2
2,1.0,2
3,1.0,2
4,1.0,2
5,0.5,2
6,0.5,2
7,1.0,2
8,1.0,2
9,1.0,2
10,1.0,2
11,1.0,2
12,0.0,2
13,1.0,2
14,1.0,2
15,1.0,2
16,1.0,2
17,0.5,2
18,1.0,2
19,1.0,2
20,0.5,2
21,1.0,2
22,1.0,2
23,0.5,2
24,0.5,2
25,0.0,2
26,1.0,2
27,1.0,2
28,1.0,2
29,1.0,2
30,0.5,2
31,1.0,2
32,1.0,2
33,1.0,2
34,0.5,2
35,1.0,2
36,0.5,2
37,0.5,2
38,1.0,2
39,1.0,2
40,0.5,2
41,1.0,2
42,1.0,2
43,1.0,2
44,1.0,2
45,0.5,2
46,1.0,2
47,0.5,2
48,0.5,2
49,1.0,2
50,1.0,2
51,1.0,2
52,1.0,2
53,1.0,2
54,0.5,2
55,1.0,2
56,1.0,2
57,1.0,2
58,1.0,2
59,1.0,2
60,1.0,2
61,0.0,2
62,1.0,2
63,0.5,2
64,0.5,2
65,1.0,2
66,0.5,2
67,1.0,2
68,1.0,2
69,0.5,2
70,1.0,2
71,0.5,2
72,1.0,2
73,1.0,2
74,1.0,2
75,1.0,2
76,0.0,2
77,1.0,2
78,1.0,2
79,0.5,2
80,0.0,2
81,1.0,2
82,1.0,2
83,1.0,2
84,1.0,2
85,1.0,2
86,1.0,2
87,1.0,2
88,1.0,2
89,0.0,2
90,1.0,2
91,1.0,2
92,1.0,2
93,1.0,2
94,1.0,2
95,1.0,2
96,1.0,2
97,1.0,2
98,1.0,2
99,1.0,2
100,1.0,2
101,1.0,2
102,1.0,2
103,1.0,2
104,0.0,2
105,1.0,2
106,1.0,2
107,1.0,2
108,1.0,2
109,1.0,2
110,1.0,2
111,1.0,2
112,0.5,2
113,1.0,2
114,1.0,2
115,1.0,2
116,0.5,2
117,1.0,2
118,1.0,2
119,0.5,2
120,0.5,2
121,0.0,2
122,1.0,2
123,1.0,2
124,1.0,2
125,1.0,2
126,1.0,2
127,0.5,2
128,1.0,2
129,0.5,2
130,1.0,2
131,0.5,2
132,1.0,2
133,0.0,2
134,1.0,2
135,1.0,2
136,0.5,2
137,1.0,2
138,1.0,2
139,1.0,2
140,0.5,2
141,1.0,2
142,0.5,2
143,1.0,2
144,0.5,2
145,0.5,2
146,1.0,2
147,0.5,2
148,0.5,2
149,0.5,2
150,0.5,2
151,1.0,2
152,1.0,2
153,0.5,2
154,1.0,2
155,1.0,2
156,0.5,2
157,0.5,2
158,1.0,2
159,1.0,2
160,1.0,2
161,0.5,2
162,1.0,2
163,1.0,2
164,1.0,2
165,1.0,2
166,0.5,2
167,1.0,2
168,1.0,2
169,0.5,2
170,1.0,2
171,0.0,2
172,1.0,2
173,1.0,2
174,0.5,2
175,1.0,2
176,1.0,2
177,0.5,2
178,1.0,2
179,0.5,2
180,1.0,2
181,1.0,2
182,0.5,2
183,0.5,2
184,1.0,2
185,0.5,2
186,1.0,2
187,1.0,2
188,0.5,2
189,0.5,2
190,1.0,2
191,1.0,2
192,1.0,2
193,1.0,2
194,1.0,2
195,1.0,2
196,1.0,2
197,1.0,2
198,1.0,2
199,1.0,2
200,1.0,2
201,1.0,2
202,1.0,2
203,1.0,2
204,1.0,2
205,0.5,2
206,1.0,2
207,1.0,2
208,0.5,2
209,1.0,2
