Class,Train,Validation,Test
0,42,1,3
1,48,2,3
2,18,1,1
3,45,1,3
4,42,1,3
5,18,1,1
6,45,1,3
7,18,1,1
8,18,1,1
9,42,1,3
10,18,1,1
11,42,1,3
12,45,1,3
13,18,1,1
14,18,1,1
15,45,1,3
16,45,1,3
17,18,1,1
18,48,2,2
19,18,1,1
20,48,2,2
21,18,1,1
22,42,1,3
23,48,2,3
24,48,2,2
25,18,1,1
26,48,2,2
27,18,1,1
28,48,2,2
29,18,1,1
30,48,2,2
31,18,1,1
32,48,2,2
33,18,1,1
34,48,2,2
35,18,1,1
36,48,2,2
37,18,1,1
38,48,2,2
39,18,1,1
40,48,2,2
41,18,1,1
42,48,2,2
43,18,1,1
44,42,1,3
45,48,2,3
46,48,2,2
47,18,1,1
48,48,2,2
49,18,1,1
50,48,2,2
51,18,1,1
52,48,2,2
53,18,1,1
54,48,2,2
55,18,1,1
56,48,2,2
57,18,1,1
58,48,2,2
59,18,1,1
60,45,1,3
61,45,1,3
62,42,1,3
63,18,1,1
64,42,1,3
65,18,1,1
66,48,2,3
67,42,1,3
68,45,1,3
69,48,2,3
70,45,1,3
71,48,2,3
72,45,1,3
73,48,2,3
74,45,1,3
75,48,2,3
76,45,1,3
77,48,2,3
78,45,1,3
79,48,2,3
80,45,1,3
81,48,2,3
82,45,1,3
83,48,2,3
84,45,1,3
85,48,2,3
86,18,1,1
87,45,1,3
88,48,2,3
89,45,1,3
90,48,2,2
91,24,1,1
92,48,2,3
93,51,2,3
94,24,1,2
95,45,1,3
96,27,1,2
97,48,2,3
98,45,1,3
99,45,1,3
100,24,1,2
101,48,2,3
102,24,1,2
103,48,2,3
104,45,1,3
105,48,2,2
106,24,1,2
107,48,2,3
108,45,1,3
109,24,1,2
110,24,1,2
111,45,1,3
112,45,1,3
113,24,1,2
114,42,1,3
115,18,1,1
116,45,1,3
117,24,1,2
118,45,1,3
119,24,1,2
120,45,1,3
121,24,1,2
122,45,1,3
123,24,1,2
124,24,1,2
125,45,1,3
126,24,1,2
127,45,1,3
128,48,2,2
129,24,1,2
130,24,1,2
131,45,1,3
132,36,1,3
133,24,1,2
134,36,1,3
135,24,1,2
136,18,1,1
137,42,1,3
138,36,1,3
139,24,1,2
140,24,1,2
141,45,1,3
142,24,1,2
143,45,1,3
144,45,1,3
145,24,1,2
146,45,1,3
147,24,1,2
148,45,1,3
149,24,1,2
150,45,1,3
151,24,1,2
152,48,2,2
153,24,1,2
154,45,1,3
155,24,1,2
156,48,2,3
157,45,1,3
158,24,1,2
159,48,2,3
160,42,1,3
161,18,1,1
162,45,1,3
163,24,1,2
164,48,2,3
165,45,1,3
166,48,2,3
167,24,1,2
168,45,1,3
169,48,2,3
170,24,1,2
171,45,1,3
172,48,2,3
173,24,1,2
174,24,1,2
175,48,2,3
176,24,1,2
177,24,1,2
178,48,2,3
179,24,1,2
180,24,1,2
181,48,2,3
182,24,1,2
183,48,2,3
184,24,1,2
185,48,2,2
186,24,1,2
187,48,2,3
188,45,1,3
189,24,1,2
190,48,2,3
191,27,1,2
192,48,2,3
193,24,1,2
194,48,2,3
195,24,1,2
196,48,2,3
197,24,1,2
198,48,2,3
199,24,1,2
200,48,2,3
201,24,1,2
202,48,2,3
203,24,1,2
204,48,2,3
205,24,1,2
206,48,2,3
207,24,1,2
208,48,2,3
209,24,1,2
